,0,1,2,3,4,5,6,7,8,9,10
53,11860003,Arthroderma,active,2002-01-31,Genus Arthroderma (organism),ArthrodermaGenus ArthrodermaArthroderma species,Arthrodermataceae 416959009,Arthroderma amazonicum 15554003Arthroderma borelli 62457003Arthroderma cajetani 76608007Arthroderma ciferrii 36290006Arthroderma cookiellum 82434003Arthroderma corniculatum 81353006Arthroderma cuniculi 72467009Arthroderma curreyi 17786006Arthroderma eboreum 6341000146103Arthroderma flavescens 87753003Arthroderma fulvum 28797005 removed: 2019-07-31Arthroderma gertleri 43553003Arthroderma gloriae 19522003Arthroderma grubyi 53815009Arthroderma insingulare 89520004Arthroderma lenticulare 785769001Arthroderma lenticularum 82567001Arthroderma obtusum 14516005Arthroderma otae 36912005Arthroderma persicolor 60780004Arthroderma quadrifidum 362005Arthroderma racemosum 18459005Arthroderma simii 54439000Arthroderma tuberculatum 15957001Arthroderma uncinatum 24965006Arthroderma vanbreuseghemii 16175007,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Ascomycota 415098006 Class Ascomycetes 426192000 Eurotiomycetidae 427616009 Onygenales 414964005 Arthrodermataceae 416959009 Arthroderma 11860003,sorted most to least specificArthrodermataceae 416959009Onygenales 414964005Eurotiomycetidae 427616009Class Ascomycetes 426192000Ascomycota 415098006Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
55,112406004,Arthrographis,active,2002-01-31,Genus Arthrographis (organism),ArthrographisGenus ArthrographisArthrographis species,Form family Moniliaceae 106569002,Arthrographis arxii 736656004Arthrographis cuboidea 415877005Arthrographis kalrae 6791000,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Deuteromycota 106565008 Deuteromycete 45970004 Form class Hyphomycetes 106568005 Form family Moniliaceae 106569002 Arthrographis 112406004,sorted most to least specificForm family Moniliaceae 106569002Form class Hyphomycetes 106568005Deuteromycete 45970004Phylum Deuteromycota 106565008Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
57,66953006,Ascaris,active,2002-01-31,Ascaris (organism),AscarisEelwormGenus: AscarisAscaris species,Family Ascarididae 427815006,Ascaris columnaris 82138005Ascaris lumbricoides 19061001Ascaris species 372370009 removed: 2015-01-31Ascaris suum 57270002Genus Ascaris adult 609045002Genus Ascaris egg 699566004Genus Ascaris larva 609061000,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Kingdom Animalia 387961004 Class Cestoda and/or Class Trematoda and/or Phylum Nemata 441649000 Nemata 421727006 Order Ascaridida 781335007 Superfamily Ascaridoidea 106663008 Family Ascarididae 427815006 Ascaris 66953006,sorted most to least specificFamily Ascarididae 427815006Superfamily Ascaridoidea 106663008Order Ascaridida 781335007Nemata 421727006Class Cestoda and/or Class Trematoda and/or Phylum Nemata 441649000Kingdom Animalia 387961004Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
59,2429008,Aspergillus,active,2002-01-31,Aspergillus (organism),Aspergillus speciesAspergillus,Form family Moniliaceae 106569002,Aspergillus amstelodami 42132005Aspergillus awamori 243486004Aspergillus boufardii 15964004 removed: 2010-01-31Aspergillus bouffardii 243487008Aspergillus brasiliensis 3101000146105Aspergillus caesiellus 243488003Aspergillus calidoustus 717160004Aspergillus candidus group 243489006Aspergillus carneus 13364008Aspergillus cervinus 450882000Aspergillus chevalieri 71581007Aspergillus clavato-nanica 243490002Aspergillus clavatus 87240002Aspergillus conicus 88989001Aspergillus costiformis 735357005Aspergillus cremeus 735358000Aspergillus deflectus 4204003Aspergillus felis 710229005Aspergillus fischeri 41287002 removed: 2020-01-31Aspergillus flavipes 54120001Aspergillus flavus group 243491003Aspergillus foetidus 786831008Aspergillus fumigatus albino type 415878000Aspergillus fumigatus species complex 719029007Aspergillus glaucus group 243492005Aspergillus granulosus 780921006Aspergillus hollandicus 780920007Aspergillus iizukae 767507007Aspergillus janus 243493000Aspergillus japonicus 999480551000087103Aspergillus lentulus 735359008Aspergillus maydis 41169005Aspergillus minisclerotigenes 735360003Aspergillus montevidensi 785771001Aspergillus nidulans 60264008Aspergillus nidulans Group 415879008Aspergillus niger group 243494006Aspergillus niveus 18651002Aspergillus nomius 10101000087100Aspergillus notatum 264396005Aspergillus ochraceus 60111002Aspergillus ochraceus Group 415880006Aspergillus oryzae 35805009Aspergillus parasiticus 57685002Aspergillus penicillioides 243495007Aspergillus phialiseptus 243496008Aspergillus pseudoglaucus 785772008Aspergillus pulvinus 785774009Aspergillus quadrilineatus 735365008Aspergillus repens 30019005Aspergillus restrictus group 243497004Aspergillus ruber 735361004Aspergillus rugulosus 16366003Aspergillus sclerotiorum 243498009Aspergillus sojae 735362006Aspergillus species 115994009 removed: 2015-01-31Aspergillus species not Aspergillus fumigatus 413584009Aspergillus sulfureus 243499001Aspergillus sydowii 46388006Aspergillus tamarii 3111000146107Aspergillus taumanii 78332001Aspergillus terreus group 243500005Aspergillus terricola 243501009Aspergillus tritici 785773003Aspergillus tubingensis 735363001Aspergillus unguis 243502002Aspergillus ustus 23179008Aspergillus versicolor 48315007Aspergillus versicolor Group 415881005Aspergillus viridinutans 735364007Aspergillus wentii 26030007Aspergillus westerdijkiae 450883005,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Deuteromycota 106565008 Deuteromycete 45970004 Form class Hyphomycetes 106568005 Form family Moniliaceae 106569002 Aspergillus 2429008,sorted most to least specificForm family Moniliaceae 106569002Form class Hyphomycetes 106568005Deuteromycete 45970004Phylum Deuteromycota 106565008Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
61,21477007,Aspergillus candidus,active,2002-01-31,Aspergillus candidus (organism),Aspergillus candidus,Aspergillus candidus group 243489006,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Deuteromycota 106565008 Deuteromycete 45970004 Form class Hyphomycetes 106568005 Form family Moniliaceae 106569002 Aspergillus 2429008 Aspergillus candidus group 243489006 Aspergillus candidus 21477007,sorted most to least specificAspergillus candidus group 243489006Aspergillus 2429008Form family Moniliaceae 106569002Form class Hyphomycetes 106568005Deuteromycete 45970004Phylum Deuteromycota 106565008Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
63,87240002,Aspergillus clavatus,active,2002-01-31,Aspergillus clavatus (organism),Aspergillus clavatus,Aspergillus 2429008,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Deuteromycota 106565008 Deuteromycete 45970004 Form class Hyphomycetes 106568005 Form family Moniliaceae 106569002 Aspergillus 2429008 Aspergillus clavatus 87240002,sorted most to least specificAspergillus 2429008Form family Moniliaceae 106569002Form class Hyphomycetes 106568005Deuteromycete 45970004Phylum Deuteromycota 106565008Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
65,4204003,Aspergillus deflectus,active,2002-01-31,Aspergillus deflectus (organism),Aspergillus deflectus,Aspergillus 2429008,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Deuteromycota 106565008 Deuteromycete 45970004 Form class Hyphomycetes 106568005 Form family Moniliaceae 106569002 Aspergillus 2429008 Aspergillus deflectus 4204003,sorted most to least specificAspergillus 2429008Form family Moniliaceae 106569002Form class Hyphomycetes 106568005Deuteromycete 45970004Phylum Deuteromycota 106565008Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
67,54120001,Aspergillus flavipes,active,2002-01-31,Aspergillus flavipes (organism),Aspergillus flavipes,Aspergillus 2429008,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Deuteromycota 106565008 Deuteromycete 45970004 Form class Hyphomycetes 106568005 Form family Moniliaceae 106569002 Aspergillus 2429008 Aspergillus flavipes 54120001,sorted most to least specificAspergillus 2429008Form family Moniliaceae 106569002Form class Hyphomycetes 106568005Deuteromycete 45970004Phylum Deuteromycota 106565008Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
69,66821001,Aspergillus flavus,active,2002-01-31,Aspergillus flavus (organism),Aspergillus flavus,Aspergillus flavus group 243491003,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Deuteromycota 106565008 Deuteromycete 45970004 Form class Hyphomycetes 106568005 Form family Moniliaceae 106569002 Aspergillus 2429008 Aspergillus flavus group 243491003 Aspergillus flavus 66821001,sorted most to least specificAspergillus flavus group 243491003Aspergillus 2429008Form family Moniliaceae 106569002Form class Hyphomycetes 106568005Deuteromycete 45970004Phylum Deuteromycota 106565008Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
71,32684000,Aspergillus fumigatus,active,2002-01-31,Aspergillus fumigatus (organism),Aspergillus fumigatus,Aspergillus fumigatus species complex 719029007,"Aspergillus fumigatus, serotype 1 103529006Aspergillus fumigatus, serotype 3 127545002Aspergillus fumigatus, serotype 6 103530001",a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Deuteromycota 106565008 Deuteromycete 45970004 Form class Hyphomycetes 106568005 Form family Moniliaceae 106569002 Aspergillus 2429008 Aspergillus fumigatus species complex 719029007 Aspergillus fumigatus 32684000,sorted most to least specificAspergillus fumigatus species complex 719029007Aspergillus 2429008Form family Moniliaceae 106569002Form class Hyphomycetes 106568005Deuteromycete 45970004Phylum Deuteromycota 106565008Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
73,19556009,Aspergillus glaucus,active,2002-01-31,Aspergillus glaucus (organism),Aspergillus glaucus,Aspergillus glaucus group 243492005,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Deuteromycota 106565008 Deuteromycete 45970004 Form class Hyphomycetes 106568005 Form family Moniliaceae 106569002 Aspergillus 2429008 Aspergillus glaucus group 243492005 Aspergillus glaucus 19556009,sorted most to least specificAspergillus glaucus group 243492005Aspergillus 2429008Form family Moniliaceae 106569002Form class Hyphomycetes 106568005Deuteromycete 45970004Phylum Deuteromycota 106565008Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
